ID,Language,Glottocode,Family,Domain,Strategy,Example,Gloss,Translation,Comment,Source
jur2,Juruna,juru1256,Tupi,Nominal/Verbal,Suffixation/Reduplication,Iidja-i ali etaetaeta,woman-PL child tobath.RED,The women will bathe the children.,Could it also be that: the women will bathe the same child multiple times?,Lima2007[118]
jur3,Juruna,juru1256,Tupi,N/A,N/A,Ba’ï ali-i yadïtu,Paca child-PL to.scare,The paca(s) scared the children (once).,"If N is [-human], the plural morpheme is zero.",Lima2007[118]
jur4,Juruna,juru1256,Tupi,N/A,N/A,Ba’ï ali-i yadïtu,Paca child-PL to.scare,The paca(s) scared the children (multiple events),"If N is [-human], the plural morpheme is zero.",Lima2007[118]
jur5,Juruna,juru1256,Tupi,N/A,N/A,*ba’e-i ali-i yadïtu,Paca-PL child-PL to.scare,,Ungrammatical,Lima2007[118]
jur6,Juruna,juru1256,Tupi,Nominal,Suffixation,Epa daeku na,tree to.knock.down 1S,I knocked the tree down.,"If N is [-human], the plural morpheme is zero.",Lima2007[118]
jur7,Juruna,juru1256,Tupi,Nominal,Suffixation,Epa daeku na,tree to.knock.down 1S,I knocked the trees down (once or multiple events),"If N is [-human], the plural morpheme is zero.",Lima2007[118]
jur8,Juruna,juru1256,Tupi,N/A,N/A,Senahï anï kota ixu,Man that snake to.eat,The man ate that snake.,"In cases where nouns [+human], they can even appear without PL.",Lima2007[118]
jur9,Juruna,juru1256,Tupi,None,None,Senahï anï kota ixu,Man that snake to.eat,The men ate that snake.,"In cases where nouns [+human], they can even appear without PL.",Lima2007[118]
jur10,Juruna,juru1256,Tupi,Nominal,Suffixation,Senahï-i anï kota ixu,Man-PL that snake to.eat,The men ate that snake.,"Once the noun is pluralized, it can only have the plural reading.",Lima2007[118]
jur11,Juruna,juru1256,Tupi,Verbal,Reduplication,João anï ba’ï apïpï,João that paca to.shoot.RED,João shot at that paca many times.,,Lima2007[121]
shok1,Shokleng,xokl1240,Macro-Je,N/A,N/A,tã wũ lələ ɲã,3.SG.M 3-NOM run CONTNV.SG,He is running.,,Urban1985[177]
shok2,Shokleng,xokl1240,Macro-Je,Verbal,Particle,ɔŋ wũ lələ nɔ̃dɛ̃,3PL 3-NOM run CONTNV.PL,They are running.,Verbal plural agrees with subject.,Urban1985[177]
shok3,Shokleng,xokl1240,Macro-Je,Verbal,Particle,tã wũ ti wɛŋ ɲã,3.SG.M 3-NOM 3.SG.M see CONTNV.SG,He is looking at (seeing) him.,,Urban1985[177]
shok4,Shokleng,xokl1240,Macro-Je,Verbal,Particle,ɔŋ wũ lələ wɛŋ nɔ̃dɛ̃,3.PL 3-NOM 3.SG.M see CONTNV.PL,They are looking at (seeing) him.,Verbal plural agrees with subject.,Urban1985[177]
shok5,Shokleng,xokl1240,Macro-Je,Verbal,Reduplication,tã wũ kɨl lãŋlãŋ katɛ̃,3.SG.M 3-NOM cry.out jump.PL come.SG,He came shouting and jumping.,Repetead nature of the action,Urban1985[177]
shok6,Shokleng,xokl1240,Macro-Je,Verbal,Particle,tã wũ ɔŋ wɛŋ ɲã,3.SG.M 3-NOM 3.PL see CONTNV.SG,He is looking at (seeing) them.,Verbal plural agrees with subject.,Urban1985[178]
shok7,Shokleng,xokl1240,Macro-Je,Verbal,Stem_Suppletion,tã wũ ɛ̃n tɛ̃ lɔ la mũ,3.SG.M 3-NOM house DEF through enter.SG active,He entered the house.,"Some intransitive verbs, that obligatorily take a postpositional noun phrase, inflect for plurality in agreement either with the S noun phrase or with the postpositional noun phrase.",Urban1985[178]
shok8,Shokleng,xokl1240,Macro-Je,Verbal,Stem_Suppletion,ɔŋ wũ ɛ̃n tɛ̃ lɔ ŋe mũ,3.PL 3-NOM house DEF through enter.PL active,They entered the house.,"Some intransitive verbs, that obligatorily take a postpositional noun phrase, inflect for plurality in agreement either with the S noun phrase or with the postpositional noun phrase.",Urban1985[178]
shok9,Shokleng,xokl1240,Macro-Je,Verbal,Stem_Suppletion,tã wũ ɛ̃n tɛ̃ mɛ̃ ŋe mũ,3.SG.M 3-NOM house DEF. DISTR enter.PL active,He entered the houses.,"Some intransitive verbs, that obligatorily take a postpositional noun phrase, inflect for plurality in agreement either with the S noun phrase or with the postpositional noun phrase.",Urban1985[178]
